ticker,marketCap,priceToBook,trailingPE,returnOnEquity,grossMargins,freeCashflow,debtToEquity,currentPrice,volume,value_score,momentum_6m,momentum_score,value_rank,momentum_rank,combined_rank,来源,roe_factor,gross_margin_factor,fcf_factor,debt_factor,market_cap_factor,composite_score
INTU,217430507520,10.561341,63.679764,0.17839001,0.80263,5197749760.0,,761.61,1392492,1.0,0.301841314805458,0.6687125720060644,22.5,2.0,24.5,双重因子筛选,1.0,1.0,1,0.0,1.0,0.8671781430015161
WDC,25970481152,4.8777933,16.542223,0.19811001,0.38981,2803624960.0,,74.44,6908867,0.901334905,0.4291371282487621,0.8101523647208468,19.0,1.0,20.0,双重因子筛选,1.0,1.0,1,0.0,0.4,0.8429385626802117
ANET,174924529664,16.114775,54.40625,0.33638,0.64236,3328752384.0,,139.28,11032910,1.0,0.1584462687388312,0.5093847430431457,22.5,4.0,26.5,双重因子筛选,1.0,1.0,1,0.0,1.0,0.8273461857607864
MPWR,38593806336,11.232896,21.09836,0.665,0.55312,510800512.0,0.585,797.94,640177,1.0,0.1367128242765627,0.485236471418403,22.5,9.0,31.5,双重因子筛选,1.0,1.0,1,0.5,0.4,0.8163091178546007
INCY,15270582272,3.639579,18.356806,0.24299,0.53223,680372096.0,1.017,78.2,1252758,0.8228780499999999,0.1449486596506028,0.4943873996117809,18.0,6.0,24.0,双重因子筛选,1.0,1.0,1,0.0,0.4,0.7404602649029451
ISRG,169939206144,9.435262,66.26375,0.1604,0.66612,1824712448.0,,469.81,1760571,1.0,-0.2113312272430931,0.0985208586187853,22.5,24.0,46.5,双重因子筛选,1.0,1.0,1,0.0,1.0,0.7246302146546963
ERIE,18765795328,8.918454,30.034073,0.3238,0.1765,362523872.0,0.615,352.6,101281,1.0,-0.1216315580210629,0.1981871577543745,22.5,23.0,45.5,双重因子筛选,1.0,0.5,1,0.5,0.4,0.6945467894385937
CPRT,45552345088,5.0765166,31.155405,0.18441999,0.4653,873605888.0,1.148,46.11,4256789,1.0,-0.2135425589233432,0.0960638234185075,22.5,25.0,47.5,双重因子筛选,1.0,1.0,1,0.0,0.4,0.6940159558546268
JPM,801142210560,2.3421378,14.944791,0.16211,0.0,,,286.94,8055895,0.607833555,0.0703154000906343,0.4114615556562603,17.0,10.0,27.0,双重因子筛选,1.0,0.0,0,0.0,1.0,0.485215455414065
FDX,53419433984,1.9045762,13.476905,0.14705,0.27264,3494500096.0,,224.66,1454605,0.527380245,-0.1195987040208349,0.2004458844212944,14.0,22.0,36.0,双重因子筛选,0.5,0.5,1,0.0,0.7,0.46832554460532355
